ReviewerName,Description
Vishnugokul,the button sound not good
Best customer,Very good for normal use
mohit,It is good for work
mohibul haque ansari,Its a nice product in its price.
harish,Nice product. Serves the purpose
Anandasundararaman S,working without any issues
Sunil,i Got perfect product after 4 cheap mouses.. u can prefer undoubtedly... long battery life.. great performance.. aal da best..
Vishnu T G.,Nice compact size.
Vinodraj,Mast
Karthick,reviewing after 3 months works good go for it..
mohit uikey,Very good to use...
tanuj guliani,Amazing product with good handling and grip.
Amazon Customer,Compact ...easy to hold.
Nehal,Same as details provided on app. Nice look
Janardhan DS,Worth the price
Amazon Customer,Good
Amazon Customer,"I brought this for 490 and its worth buying, till date I am not finding any issues with mouse, rolls smooth."
Deshna,Best product
Suleyman,Gi for it
Gurdit singh,Vry good quality
Rajasekhar N,Good product
Rahul Garg,Smooth.
Samanvay Anand,Awesome product.
dhvanit vyas,Enjoying while using
Shiva ahluwalia,Its been more than a year and its working as fine as it was working on the first day.Awesome product.
Radz,"All good, liked it , perfect easy going"
Amazon Customer,Too good for regular purpose...
Rohan Yadav,"stopped working properly after 20 days. right click is not working, waste of money, don't buy this"
Nageswari M P,Battery good as of now... But handling is superb...
Ahsan Siddiqui,"Handy and looks like a gaming mouse, unlike other simple models."
Ady,Mouse is very good grip while working.
samudyatha,"Good product, bought 2 of them..."
AJ,Good one
kris,gone in 6 months
Amit misri,Chinese prodouct
Amazon Customer,Its perfect for daily use
Anand Walke,G..........ok
Ashwani Kumar Singh,Quality product for normal use
Anurag,Working fine
anilkpadule,"The product is A-ok, quick and instant."
Varun Omer,Ok
K.SASI KUMAR,Good
T.R.Sundar,Two deliveries of non functional products ... returned
OMKAR NERURKAR,Nice product
Sanjit Priyadarshi,Will highly recommend. Go for it. Fits nicely in palm. Buttons also good quality.
Nagendra singh,Awesome product.must buy it on this range
balaji,Excellent
Animesh Jha,awesome prdtDelivered on time...Highly satisfied....
Jagdeep Singh,great device
HITESH,Good product but could not able it to register on official Logitech website
Amazon Customer,"The product is similar to whats shown in the figure and performance was great, also the delivery speed was great."
Mrinmay Sarkar,Only problem with fit. Otherwise it is a paise wasool product.
Navdeep,Good product 👍
DEVESH,Good mouse 👌👌
bharat karale,MB2 not working
Lobo David,Nice  product..
Mani,Working fine with Expected
harit tyagi,I liked the product.
Gospel Ralte,Im happy with everything. Thank you Amazon...
Pushpa,nice
MSingh,Go for it... very good wireless mouse
Jagdish .S,Excellent product.
prasad r.,Grt👌
Jayasankar.N,Handy one and works fine. I was expecting little bigger one but all good for now.
Manoj Chaudhari,Very good product at this price.
raj,its not good
Abhishek Shah,Super design and Comfortable to use. Must buy product in mouse range
Jayesh,Good
Sabari R.,Nice
vignesh,On time arrival and quality and working condition of the product is good.
Zuleikha Hussein,Best
Esakkiammal,Good product
sagar singh khichi,"nice, i love all from logitech"
Anitesh Anand,Thank u
Rajat,Easy to hold
Vipin Bindoria,"Good looking, sleek wireless mouse. Its medium sized, and not very small. Speedy delivery. Satisfied overall."
Amazon Customer,stopped working after a year of minimal use.
Prabodh Kumar,Best Item
ram,NOT GOOD FOR  GAMING
Joffy John V,Good
anurag1980,Bad stopped working after 2 days of delivery
KUSHAL H G,Awesome Wireless Mouse
Tharun Thota,It is worthy!!
Shravan,awesome smooth
ASHISH MATHUR,Easy to handle
anish mondal,Waste of money
Nisha Trivedi,Worth buying👍
J.K,Good
Amazon Customer,It.was initially good but stopped working after an year
Amith Sai,Easy to use
Ninad Phute,"Simple, nifty, suitable for small hands or laptop use"
Ashwin Raju,Logitech products do not need any reviews the name itself is enough
PALLAB KUMAR MONDAL,Good
Jipsonjohn,Good
Harshwardhan Saraswat,na
Snvsnarayana,Good
Anand Wardhan,"stopped working all of a sudden, could not even last 10 months, will seek for refund, still under warranty"
Sumesh,Good product
Ridhuvarman LA,Cool
Nelson Fernandez,Great mouse considering the price. Use it daily in office.
Sandeep Joshi,Nice product
sachin kumar tiwari,Good
vijay,Not reached my expectation
Vinaykumarredd,USB wireless receiver is not working. Getting disconnected every minute.
Aafaq,Nice seller . Good product
arjun kakar,Better than most others
Priyanka Agarwal,Mouse received without a receiver
kartic,Good
RY,Cool mouse budget mouse for gaming!!!!
ARCHANA TRIPATHY,Not functioning since long after one month of purchase itself
Amazon Customer,Very nice product
Sivakrishna alla,Awsome
Amit Chilka,Good product
Rushikesh,It works very smoothly
Pranjal,Easy to hold.
Amazon Customer,It's a good product
Roli singh,Nice.
Phani Naveen,Super
mukund,Great
Amazon Customer,Value for money
Naveen,No problems faced.. can handle easily
Pratik Devamane,Stopped working within 15 days... replaced it thrice
cs Bishnoi,awesome mouse..
Neeraj Negi,Nice mechanics and durability. Light weight but small is size.
michael,Its really good
Anmol Exports,Good
Darshan Jadav,Great
Amit Rai,Easy to hold
Amazon Customer,Beatiful movie and easy to use.
Rahul sarkar,Verry good
Shivaram jagannathan,Good product.
Amazon Customer,Happy with product
Sathiyaseelan,It is supper mouse
Adhithya.J.K,It makes little noise while shaking.........other than that it's awesome
Amazon Customer,Good product.  Little noise while moving.  Otherwise serves the purpose.
T,Robust build..steady . accurate pointer
Saif Abidin,Good
ATHUL,Bad product its only work few month
Amazon Customer,It is working fine. I found width of the mouse a bit more and on longer use slight discomfort. May be because I used a smaller mouse earlier.
Mufaddal,Nice product gud value for price
Riyaz Ahamed L,Good
Saurabh S.,Good product
Prabhu,Easy to hold
Chitra Das,Good product
bandana samant,Good good pr
Vijay K.,Easy to hold
Amazon Customer,Easy to hold
Naresh Kumar Chugh,Good product
Nikhil kambli,Nice product
sarikapadakanti,Nice product
Samyajit Sarkar,Good product
Amit jagtap,EASY TO HOLD
Satish Kumar Sahoo,Nice mouse
Abhinav Nigam,The grip is good. The material is not that good. But for a price tag of Rs. 499 one can't expect much.
Pankaj Mehta,Easy to Handle & light weight
Aishwarya D.,very low latency.....liked it a lot.
Vishal Suthar,"When we checked Mouse, scratches has been found in back side of Mouse."
Amazon Customer,Poor quality packing.thak good item not damaged. Good product and on time delivery
Dr. Dipankar Bhattacharyya,Product is consuming bettery fast.
Md Iftekhar Noor,Good mouse
gautam mangal,Good mouse
Dipu singh,Good
Jagadish  Krishna,As expected awsome and good texture
DHAVALKUMAR CHAUDHARI,Ergonomic and esy to hold
Rakesh,Best product
KA,Great product for its price. There is no lag and the buttons are pretty snappy. Amazon did a wonderful job with packaging and delivery.
aditya velidandi,Good
Deepak T.,Comfortable in hands and good accuracy
Moiz,Nice Quality Easy to Hold with Nice Battery Life
Amazon Customer,"Ergonomic, easy to hold and stylish"
Ankit,Good product
Subrata,Nice.. perfect product
Rajkishor yadav,Good
Amazon Customer,great
Freddy Sopariwalla,"Very good looking thing & responsive,,,,, but a little small"
subhashini rawat,Really comfortable to use!
Dr. Subhasish Mondal,Nice as usual for a Logitech product
Dileep R B,Good quality for price
Pankaj Asawa,"Received this glue gun, instead of mouse."
amita,Not working . Please give guideline
Deepu,Great buy
Amazon Customer,Awesome product. The product was delivered on time.
Priyanka Madur,Good and economic product
Chda,Noice
syed imtiaz,superb
SKumar,Given battery was a dead battery.
Kamran Khan,Excellent product
Ranjeet,Good product
Sudipta Paul,Awesome!❤
Avinash Sinha,Good built in quality and comfortable feel in hands.
ARUN,battery life is great but durabilty is not  satisfactory
Thavamani,Nice to hold. The size is ideal
DHEERENDRA MANI TRIPATHI,good one...
Amazon Customer,Bad product
Siddhartha Banerjee,Bad
Kailash,A good mouse for overall functions...
Chahat sharma,"Very nice, durable and responsive"
Mithun Chakraborty,Very nice product....
Amazon Customer,Very good. Received in good packaging. Good quality.
Faheem khan,Scroll is not smooth
Abhiragh,Great accuracy and speed. The device connects faster than said.
Rajendra Patel,Excellent
Aritra Ranjan Das,Easy to hold and greater coverage
Parveen Kaushik,Very good quality product.
Rushi Patel,It's very good mouse
Indranil Mahata,Refer the ratings
kalanithi,Economic..take too long for delivery
lokesh kumar gupta,good as accepted as shown.
Rizwan,Must buy product
Sam,This product is very good and nice
Amazon Customer,Working well with my Dell Inspiron laptop...
Sujeet kumar Manjhi,Good buy
Sushanth.Muthyala,"The Scroll stopped Working Today,how do i raise a complaint?"
Aashish k.,"It has suddenly stopped working! Tried every hacks, but no output!!"
Sanjoy,Very Good mouse. Light and very smooth. The size is perfect and so is the grip. Looks good too.
Pavan S,Clicking mechanism just sucks over the time.
Zama,Gopd
Abhiram sekhar,Good one
Amazon Customer,Good quality product
Amal Asok,Good product
Ramesh 1964,Good product
Ramakant,Useful
harsh shah,Value for money
Suraj Nadaf,good deal
Amazon Customer,Best product at its cost
rahul sharma,Good
Amazon Customer,"Light weight, size is alright"
Darshan,Not good clicking
Amazon Customer,Worth it
Suresh B.,Great
Maneesh Singh,Value for money
Bipul Likson,Excellent
RAJESH S.,Good product. Timely delivery
sneha p.,It's a good product
Amazon Customer,It is a nice product in this amount
Amazon Customer,Has a great build quality and the best one to use but somewhere small in size but
Mahendra Singh,Great product
Krishna,Nice product!
A. L.,Compact n good
Amazon Customer,Bought on a Lightning deal. Good value for money
bbu,It is good
Gaurav,Good product to buy..!!
Vinishkumar Nair,Product is working fine
Karthik S,Good
Saurabh,Ultimate..best buy..very sharp delivery
Amazon Customer,Awesome design and smooth moves.
Prabakaran,Value for money
Devang Gajjar,Good quality
vishnu,good
Sumanth,"Easy to hold, lightweight"
N surya pavan,It is easy to hold in an hand. Using experience is so good and smooth
V.Surya Dilip,Super
Dro,"Compact, effective and price friendly"
Ved Deokar,Just awesome. Is very light and the clicks are very easy
RAHUL K,Good for normal usage
Amazon Customer,Nice one
M S.,nice product.
Abhinav Kumar,Good one
Praveen kumbar,Good one
Amazon Customer,I dont get the reciever
shivam vashi,"Product works fine but disappointed for the first time with Amazon, product back side had some scratch seems it was used before"
Krupal,Product recieved in bad condition.box tempered. Not happy.
Priyanshu Agarwal,It should have been for 350-400
leanderclement,Hood
mumin quadri,Awesome!!!
Siva,not working properly after 7 months..!
G Ram Gautham,Compact and nice design
Subhradeep,Good product
pramod sethy,Easy to operate n its in a cheap price..
Bhavesh negi,Lovin it
Amazon Customer,Using more than 1year and very good
Nirmal Choudhary,Best wireless mouse in this range
Soumick Kumar Dey,Easy to hold.
Sreedhar C. Hassan,All good
Abhi314,The middle button stoped working after 3 months
sudhakar bala,Useful product... Nice ..
Amazon Customer,nil
kabir Guliani,Nice 👌
Ajay kumar,Excellent
Customer,Nice product
Braj M.,Best in the segment.
Hemendra pratap singh,Good for daily task but build is average
chand,The serial num on the box and mouse doesn't match. I asked gor a replacement. Let's hope for a genuine one
Sam TR,Works fine. Design is compromised.
Amazon Customer,Good
Divya C.,Nice product and worth for money
Bharath,Good product.
Amazon Customer,Good product by Amazon.
Manmohan  Singh Bisht,value for money
Amazon Customer,Good product
loyd kurian,Good
Ramesh Reddy,Easy to use super
Hardeep Singh,Nice product
Amazon Customer,Product
Amazon Customer,Roller makes sounds after few weeks
Anand,Good
Amazon Customer,"its center buttons stops working after 30 days only.So, what else customer expect from this.?????"
Tanisha,It’s too small
Sandeep A s,Very very good..go for this one..
Amazon Customer,Just been a month and it stopped working. Does not connect to any laptop. USB device isn't recognized.
Anindita Sarkar,Little broad
Dip Dhameliya,Easy to hold
Amazonnnn,Easy to hold
Bharath Ganti,Nice
Amazon Customer,Good
Ranjan m.,This is such a very handy product.
